date,year,month,sum,mean,pixels,region,type
2014-01-01,2014,1,9630.447184481367,1.1084768858749272,8688,Srinagar (Kashmir),Bias-corrected
2014-02-01,2014,2,8931.466458206318,1.028023303200543,8688,Srinagar (Kashmir),Bias-corrected
2014-03-01,2014,3,9790.900425020454,1.1269452607067743,8688,Srinagar (Kashmir),Bias-corrected
2014-04-01,2014,4,12757.596895024344,1.4684158488748094,8688,Srinagar (Kashmir),Bias-corrected
2014-05-01,2014,5,15881.652711941806,1.82799870072995,8688,Srinagar (Kashmir),Bias-corrected
2014-06-01,2014,6,15238.670227336446,1.753990587861009,8688,Srinagar (Kashmir),Bias-corrected
2014-07-01,2014,7,13911.398127976256,1.6012198581924788,8688,Srinagar (Kashmir),Bias-corrected
2014-08-01,2014,8,14681.580462420126,1.6898688377555393,8688,Srinagar (Kashmir),Bias-corrected
2014-09-01,2014,9,11134.964942476632,1.281648819345837,8688,Srinagar (Kashmir),Bias-corrected
2014-10-01,2014,10,12444.179660139758,1.4323411211026424,8688,Srinagar (Kashmir),Bias-corrected
2014-11-01,2014,11,9435.797570648696,1.0860724643932662,8688,Srinagar (Kashmir),Bias-corrected
2014-12-01,2014,12,11629.850713041185,1.338610809512107,8688,Srinagar (Kashmir),Bias-corrected
2015-01-01,2015,1,10148.572870655964,1.1681138202872887,8688,Srinagar (Kashmir),Bias-corrected
2015-02-01,2015,2,11891.323266549465,1.3687066374941834,8688,Srinagar (Kashmir),Bias-corrected
2015-03-01,2015,3,11896.227847058402,1.3692711610334256,8688,Srinagar (Kashmir),Bias-corrected
2015-04-01,2015,4,13488.42740624949,1.5525353828556043,8688,Srinagar (Kashmir),Bias-corrected
2015-05-01,2015,5,13705.774512114851,1.5775523149303465,8688,Srinagar (Kashmir),Bias-corrected
2015-06-01,2015,6,12945.842309024414,1.4900831386998634,8688,Srinagar (Kashmir),Bias-corrected
2015-07-01,2015,7,10056.719265793323,1.1575413519559534,8688,Srinagar (Kashmir),Bias-corrected
2015-08-01,2015,8,13077.935583375604,1.5052872448636745,8688,Srinagar (Kashmir),Bias-corrected
2015-09-01,2015,9,13640.215052070365,1.5700063365642685,8688,Srinagar (Kashmir),Bias-corrected
2015-10-01,2015,10,13940.190028846439,1.6045338430992677,8688,Srinagar (Kashmir),Bias-corrected
2015-11-01,2015,11,11061.218214148925,1.2731604758458708,8688,Srinagar (Kashmir),Bias-corrected
2015-12-01,2015,12,9818.435212511971,1.1301145502430907,8688,Srinagar (Kashmir),Bias-corrected
2016-01-01,2016,1,8827.557873367845,1.0160632911334997,8688,Srinagar (Kashmir),Bias-corrected
