date,year,month,sum,mean,pixels,region,type
2014-01-01,2014,1,10375.020527303219,1.154190736155659,8989,Srinagar (Kashmir),Raw
2014-02-01,2014,2,9536.30902147293,1.0608865303674415,8989,Srinagar (Kashmir),Raw
2014-03-01,2014,3,10854.270057447255,1.207505846862527,8989,Srinagar (Kashmir),Raw
2014-04-01,2014,4,14663.135234031826,1.6312309749729477,8989,Srinagar (Kashmir),Raw
2014-05-01,2014,5,18825.92242986709,2.0943288941892413,8989,Srinagar (Kashmir),Raw
2014-06-01,2014,6,18047.131361290812,2.0076906620637236,8989,Srinagar (Kashmir),Raw
2014-07-01,2014,7,16132.411845475435,1.794683707361824,8989,Srinagar (Kashmir),Raw
2014-08-01,2014,8,17113.730389028788,1.9038525296505493,8989,Srinagar (Kashmir),Raw
2014-09-01,2014,9,12213.288480646908,1.3586926777891766,8989,Srinagar (Kashmir),Raw
2014-10-01,2014,10,14452.620747968554,1.6078118531503565,8989,Srinagar (Kashmir),Raw
2014-11-01,2014,11,10626.778494279744,1.1877476801475069,8947,Srinagar (Kashmir),Raw
2014-12-01,2014,12,13296.807355195284,1.4792309884520285,8989,Srinagar (Kashmir),Raw
2015-01-01,2015,1,11414.355717085302,1.2698137409150407,8989,Srinagar (Kashmir),Raw
2015-02-01,2015,2,13179.94520714879,1.4662304157468895,8989,Srinagar (Kashmir),Raw
2015-03-01,2015,3,13510.118037685752,1.5029611789615922,8989,Srinagar (Kashmir),Raw
2015-04-01,2015,4,15770.753839030862,1.7544503102715387,8989,Srinagar (Kashmir),Raw
2015-05-01,2015,5,16092.742373582907,1.7904697789923127,8988,Srinagar (Kashmir),Raw
2015-06-01,2015,6,15119.140627479588,1.6887234030469773,8953,Srinagar (Kashmir),Raw
2015-07-01,2015,7,10738.232037323847,1.2159701095372943,8831,Srinagar (Kashmir),Raw
2015-08-01,2015,8,15156.208168581856,1.6885258654837183,8976,Srinagar (Kashmir),Raw
2015-09-01,2015,9,16266.802706276998,1.809634298172989,8989,Srinagar (Kashmir),Raw
2015-10-01,2015,10,16474.49117270857,1.8327390335641975,8989,Srinagar (Kashmir),Raw
2015-11-01,2015,11,12452.06870239973,1.3852562801646158,8989,Srinagar (Kashmir),Raw
2015-12-01,2015,12,10883.366859704256,1.2107427811440934,8989,Srinagar (Kashmir),Raw
2016-01-01,2016,1,9864.399653733682,1.1583372068733775,8516,Srinagar (Kashmir),Raw
2016-02-01,2016,2,10458.525550757535,1.1638688571953633,8986,Srinagar (Kashmir),Raw
2016-03-01,2016,3,15161.030417062342,1.6877469015988358,8983,Srinagar (Kashmir),Raw
2016-04-01,2016,4,13384.536223182935,1.5135741516660561,8843,Srinagar (Kashmir),Raw
2016-05-01,2016,5,16786.390219541267,1.867644661720212,8988,Srinagar (Kashmir),Raw
2016-06-01,2016,6,17120.04581600614,1.9045551024592433,8989,Srinagar (Kashmir),Raw
2016-07-01,2016,7,14462.487657047808,1.6103426853410319,8981,Srinagar (Kashmir),Raw
2016-08-01,2016,8,12954.67476808821,1.4459956209496831,8959,Srinagar (Kashmir),Raw
2016-09-01,2016,9,13694.105778731406,1.523429277865325,8989,Srinagar (Kashmir),Raw
2016-10-01,2016,10,16627.465307474136,1.849756959336315,8989,Srinagar (Kashmir),Raw
2016-11-01,2016,11,11748.395804520696,1.306974725166392,8989,Srinagar (Kashmir),Raw
2016-12-01,2016,12,9554.695819683373,1.0629320079745659,8989,Srinagar (Kashmir),Raw
2017-01-01,2017,1,10755.813115477562,1.1965527995858896,8989,Srinagar (Kashmir),Raw
2017-02-01,2017,2,12181.816257163882,1.3551914848330051,8989,Srinagar (Kashmir),Raw
2017-03-01,2017,3,11491.416005179286,1.278386472931281,8989,Srinagar (Kashmir),Raw
2017-04-01,2017,4,13874.272797077894,1.543472332526187,8989,Srinagar (Kashmir),Raw
2017-05-01,2017,5,16795.63089683652,1.8684648900696985,8989,Srinagar (Kashmir),Raw
2017-06-01,2017,6,17295.65015013516,1.924090571825026,8989,Srinagar (Kashmir),Raw
2017-07-01,2017,7,16925.467608898878,1.8829088451328155,8989,Srinagar (Kashmir),Raw
2017-08-01,2017,8,18426.83718314767,2.049931825914748,8989,Srinagar (Kashmir),Raw
2017-09-01,2017,9,19714.64375847578,2.193196546721079,8989,Srinagar (Kashmir),Raw
2017-10-01,2017,10,25698.259988754988,2.8588563787690497,8989,Srinagar (Kashmir),Raw
2017-11-01,2017,11,15937.51999515295,1.7730025581436144,8989,Srinagar (Kashmir),Raw
2017-12-01,2017,12,13052.280009567738,1.4520280353284833,8989,Srinagar (Kashmir),Raw
2018-01-01,2018,1,15708.139993995428,1.7474847028585414,8989,Srinagar (Kashmir),Raw
2018-02-01,2018,2,13752.700004950166,1.5299477144232023,8989,Srinagar (Kashmir),Raw
2018-03-01,2018,3,17266.640005141497,1.9208632779109462,8989,Srinagar (Kashmir),Raw
2018-04-01,2018,4,15672.500011354685,1.7435198588669134,8989,Srinagar (Kashmir),Raw
2018-05-01,2018,5,20273.070012524724,2.255319836747661,8989,Srinagar (Kashmir),Raw
2018-06-01,2018,6,21361.749987214804,2.3764323047296476,8989,Srinagar (Kashmir),Raw
2018-07-01,2018,7,15886.559983693063,1.767333405683954,8989,Srinagar (Kashmir),Raw
2018-08-01,2018,8,16577.620001241565,1.8442118145779913,8989,Srinagar (Kashmir),Raw
2018-09-01,2018,9,19339.27999725938,2.1514384244364644,8989,Srinagar (Kashmir),Raw
2018-10-01,2018,10,19561.63997885585,2.176175323045483,8989,Srinagar (Kashmir),Raw
2018-11-01,2018,11,14818.129989728332,1.6484736889229428,8989,Srinagar (Kashmir),Raw
2018-12-01,2018,12,13331.76998782903,1.4831204792333996,8989,Srinagar (Kashmir),Raw
2019-01-01,2019,1,14932.939993277192,1.6612459665454657,8989,Srinagar (Kashmir),Raw
2019-02-01,2019,2,18076.879997894168,2.0112238537932985,8988,Srinagar (Kashmir),Raw
2019-03-01,2019,3,13865.049997389317,1.542446322993583,8989,Srinagar (Kashmir),Raw
2019-04-01,2019,4,18636.390000239015,2.0732439648725123,8989,Srinagar (Kashmir),Raw
2019-05-01,2019,5,17610.669997006655,1.9591356098572317,8989,Srinagar (Kashmir),Raw
2019-06-01,2019,6,18409.800013244152,2.048036490515536,8989,Srinagar (Kashmir),Raw
2019-07-01,2019,7,17264.40999504924,1.920615195800338,8989,Srinagar (Kashmir),Raw
2019-08-01,2019,8,16373.620002631098,1.821517410460685,8989,Srinagar (Kashmir),Raw
2019-09-01,2019,9,16776.249989643693,1.8663088207413163,8989,Srinagar (Kashmir),Raw
2019-10-01,2019,10,16942.559992820024,1.8848103229302509,8989,Srinagar (Kashmir),Raw
2019-11-01,2019,11,13577.669997781515,1.5104761372545907,8989,Srinagar (Kashmir),Raw
2019-12-01,2019,12,14004.149997025728,1.5579207917483289,8989,Srinagar (Kashmir),Raw
2020-01-01,2020,1,16231.37000080198,1.80569251316075,8989,Srinagar (Kashmir),Raw
2020-02-01,2020,2,17678.61999410391,1.966694848604284,8989,Srinagar (Kashmir),Raw
2020-03-01,2020,3,18175.88999542594,2.022014684105678,8989,Srinagar (Kashmir),Raw
2020-04-01,2020,4,18839.559998482466,2.0958460338727853,8989,Srinagar (Kashmir),Raw
2020-05-01,2020,5,19954.629993766546,2.2198943145807704,8989,Srinagar (Kashmir),Raw
2020-06-01,2020,6,20193.6399910748,2.246483478815753,8989,Srinagar (Kashmir),Raw
2020-07-01,2020,7,17960.059990093112,1.9980042262869186,8989,Srinagar (Kashmir),Raw
2020-08-01,2020,8,18290.93998235464,2.0348136591784005,8989,Srinagar (Kashmir),Raw
2020-09-01,2020,9,19197.61998847127,2.1356791621394224,8989,Srinagar (Kashmir),Raw
